epoch,accuracy,loss,val_accuracy,val_loss
0,0.8628888726234436,0.45181363821029663,0.9506666660308838,0.16845256090164185
1,0.9437777996063232,0.19065017998218536,0.9621904492378235,0.1203184425830841
2,0.957919180393219,0.14047177135944366,0.9706666469573975,0.09500017762184143
3,0.9660000205039978,0.11624683439731598,0.9730476140975952,0.08629307150840759
4,0.9715757369995117,0.09597388654947281,0.9760952591896057,0.07977433502674103
5,0.975313127040863,0.08396848291158676,0.9785714149475098,0.06914862990379333
6,0.9779797792434692,0.07229026407003403,0.9783809781074524,0.07062212377786636
7,0.9801818132400513,0.06341635435819626,0.978857159614563,0.07133035361766815
8,0.9818384051322937,0.05886131152510643,0.9789524078369141,0.06714913994073868
9,0.982606053352356,0.05300399661064148,0.9798095226287842,0.06639226526021957
10,0.9852727055549622,0.04842314124107361,0.9817143082618713,0.0640174001455307
11,0.9847070574760437,0.04663124307990074,0.9798095226287842,0.07082909345626831
12,0.9868080615997314,0.04073089361190796,0.9825714230537415,0.06286206841468811
13,0.9876565933227539,0.039390236139297485,0.9823809266090393,0.06495427340269089
14,0.9876565933227539,0.037141140550374985,0.9818094968795776,0.06174769625067711
15,0.989252507686615,0.033185116946697235,0.9794285893440247,0.07740092277526855
16,0.9887474775314331,0.034271012991666794,0.9827619194984436,0.06431029736995697
17,0.9900000095367432,0.03165362775325775,0.9816190600395203,0.06571245193481445
18,0.9906868934631348,0.030604200437664986,0.9808571338653564,0.06843779981136322
19,0.9909293055534363,0.02694847621023655,0.9817143082618713,0.0765504315495491
